SampleID,VanA
1015P,0
1015Q,0
1015T,0
1015U,1
1015V,1
1015W,1
1015X,0
1022C,0
1024G,0
1037E,0
1037F,0
1037G,0
1042BB,0
1042JJ,0
1042KK,0
1045F,0
1045G,0
1045H,0
1045I,1
1045J,1
1045L,1
1045M,1
1045N,1
1045O,1
1045P,1
1050E,0
1053D,0
1053E,0
1053F,0
1053G,0
1053H,0
1053I,0
1053J,0
1053K,0
1053L,0
1053M,0
1053N,0
1053O,0
1053P,0
1054E,0
1082B,0
1082C,0
1088N,0
1092L,1
1092O,1
1092P,1
1094B,0
1096C,0
1096D,0
1098F,0
1106D,0
1106E,0
1106F,0
1107R,1
1107T,1
1108I,0
1112D,0
1112E,0
1112F,0
1117C,0
1117D,0
1117E,0
1119F,0
1119G,0
1121D,0
1123F,0
1123G,0
1123H,0
1123I,0
1123J,0
1123K,0
1123L,0
1123M,0
1123N,1
1123O,1
1123P,1
1123Q,1
1123R,1
1123S,1
1123T,1
1123U,1
1123V,1
1123W,0
1124E,0
1124F,0
1124G,0
1124H,0
1127D,0
1127E,0
1128D,0
1128E,0
1128F,0
1130A,0
1130B,0
1133D,1
1133E,1
1135A,0
1135C,0
1135D,0
1136A,0
1136E,0
1136F,0
1136G,0
1137A,0
1138A,0
1138B,0
1138C,0
1139A,1
1140B,0
1140D,0
1140F,0
1140G,0
1141B,0
1141D,0
1141E,0
1142B,0
1142C,0
1143A,0
1143C,0
1144B,0
1144E,0
1145C,0
1145D,0
1145E,0
1147A,0
1147B,0
1147C,0
1148B,0
1148C,0
1150B,0
1150D,0
1151B,0
1151D,0
1151F,0
1151G,0
1151H,0
1152A,0
1152C,0
1153A,0
1154A,1
1154B,1
1154E,0
1154H,1
1154I,1
1154J,1
1155A,0
1155B,0
1156A,0
1156B,0
1157A,0
1157B,0
1157C,0
1157D,0
1157DD,0
1157E,0
1157K,0
1157L,0
1157M,0
1157S,0
1157T,0
1157U,0
1157V,0
1157W,0
1157X,0
1157Y,0
1157Z,0
1158A,0
1158B,0
1158C,0
1158D,0
1158E,0
1158G,1
1158H,1
1158I,1
1158J,1
1158K,1
1158L,0
1158M,1
1158N,1
1158R,0
1158S,0
1158T,0
1158U,0
1158V,0
1159A,0
1160A,0
1160C,0
1160D,0
1160E,0
1160F,0
1160G,0
1160H,0
1160I,0
1160J,0
1160K,0
1160L,0
1160M,0
1160N,0
1160O,0
1160P,0
1160Q,0
1160R,0
1160S,0
1160T,0
1160U,0
1160V,0
1161B,0
1161C,0
1161D,0
1161E,0
1161F,0
1161G,0
1161I,0
1161J,0
1161K,0
1161L,0
1161M,0
1161N,0
1161O,0
1161P,0
1161Q,0
1162A,0
1162B,0
1162C,0
1163A,0
1163B,0
1163E,0
1163G,0
1163H,0
1163I,0
1163J,0
1163L,0
1163M,0
1163N,0
1163O,0
1163R,0
1163S,0
1163T,0
1163U,0
1165D,0
1165E,0
1166B,0
1167A,0
1167AA,0
1167C,0
1167D,0
1167DD,0
1167EE,0
1167F,0
1167FF,0
1167G,0
1167GG,0
1167I,0
1167MM,0
1167PP,0
1167RR,0
1167SS,0
1167TT,0
1167UU,1
1167VV,1
1167W,0
1167WW,1
1167Y,0
1167YY,1
1169C,0
1170A,0
1170B,0
1170C,0
1170D,0
1170E,0
1170F,0
1170G,0
1170H,0
1170I,0
1170J,0
1170K,0
1170L,0
1170M,0
1170O,0
1170Q,1
1170S,1
1170T,0
1171BB,0
1171CC,0
1171DD,0
1171E,0
1171EE,0
1171F,0
1171FF,0
1171J,0
1171K,0
1171L,0
1171M,0
1171P,0
1171Q,0
1171R,0
1171S,0
1171V,0
1172B,0
1172C,1
1172D,0
1172E,0
1173C,0
1173F,0
1173G,0
1173K,0
1173N,0
1173P,0
1173Q,0
1173R,0
1173S,0
1173T,0
1174D,0
1174E,0
1174G,0
1174I,0
1174J,0
1174K,0
1174M,0
1175D,1
1176A,1
1176B,1
1176C,1
1176D,1
1176E,1
1176F,1
1176G,1
1176H,1
1176I,1
1176K,1
1176L,1
1176M,1
1176N,1
1176O,1
1176P,1
1176Q,1
1176R,1
1176S,1
1176T,1
1176U,1
1176V,1
1177B,0
1177C,0
1178B,0
1178C,0
1178D,0
1179A,1
1179B,1
1179C,1
1179D,1
1179E,1
1179F,1
1179G,1
1179H,1
1179I,1
1179J,1
1179K,1
1179L,1
1179M,1
1179N,1
1179O,1
1179P,1
1179Q,1
1179R,1
1179S,1
1179T,1
1179U,1
1179V,1
1179W,1
1179X,1
1179Y,1
1180A,0
1180C,0
1181B,0
1181C,0
1182B,0
1182C,0
1182D,0
1183A,0
1183B,0
1184A,0
1184C,0
1184D,0
1184E,0
1184F,0
1184H,1
1184J,0
1186B,0
1186C,0
1186D,0
1186E,0
1186U,0
1186V,0
1186W,0
1187A,0
1187C,0
1188A,0
1188B,0
1189B,0
1189C,0
1189D,0
1189E,0
1190A,1
1190B,0
1191A,0
1191D,0
1191E,0
1191F,0
1191G,0
1191Q,0
1191R,0
1191T,0
1191U,0
1191V,0
1191W,0
1191X,0
1191Y,0
1191Z,0
1192A,0
1192B,0
1192C,0
1192D,0
1192E,0
1192F,0
1192G,0
1192H,1
1192K,1
1192L,1
1192M,1
1192MM,1
1192N,1
1192NN,1
1192O,1
1192OO,1
1192P,1
1192PP,1
1192Q,1
1192QQ,1
1192RR,1
1192S,0
1192SS,1
1192T,0
1192TT,1
1192U,1
1192V,1
1192W,1
1193A,0
1193B,0
1193C,0
1193D,0
1193E,0
1193F,0
1193G,0
1193H,0
1193J,0
1193K,0
1193M,0
1193N,1
1194A,0
1195C,1
1195D,1
1195DD,1
1195E,1
1195EE,1
1195F,1
1195FF,1
1195GG,1
1195HH,1
1195II,1
1195R,1
1195S,1
1195T,1
1195W,1
1195X,1
1195Y,1
1196A,0
1196B,0
1196C,0
1196R,0
1197B,0
1197C,1
1197J,1
1199B,0
1200A,1
1200B,1
1201A,0
1201B,0
1201C,0
1202A,1
1202P,1
1202Q,1
1202S,1
1202U,0
1202V,0
1202W,1
1203A,1
1203B,0
1203C,0
1203D,0
1203E,0
1203F,0
1203G,1
1203H,1
1203I,1
1203J,1
1203K,1
1203L,1
1203M,1
1203N,0
1203O,0
1203P,0
1203Q,0
1203R,0
1203S,1
1203T,1
1203V,1
1203W,1
1203X,1
1203Y,1
1205E,0
1205F,0
1205G,0
1206C,0
1206D,1
1206F,1
1207A,0
1207AA,0
1207B,0
1207BB,0
1207C,0
1207CC,0
1207D,0
1207E,0
1207F,0
1207G,0
1207H,0
1207J,0
1207L,0
1207M,0
1207N,0
1207P,0
1207Q,0
1207R,0
1207S,0
1207V,0
1207W,0
1207X,0
1207Y,0
1207Z,0
1208D,1
1209G,0
1209H,0
1209J,0
1209K,0
1210BB,1
1210CC,0
1210DD,0
1210EE,0
1210GG,0
1210HH,0
1210II,0
1210K,1
1210N,1
1210O,1
1210P,0
1210Q,1
1210W,1
1210X,1
1210Y,1
1213B,0
1215F,0
1215H,0
1217CC,1
1217D,1
1217DD,1
1217F,1
1217G,1
1217L,1
1217N,1
1217O,1
1217P,1
1217Q,1
1217U,1
1217W,1
1218A,0
1218C,0
1219B,0
1220E,0
1220H,0
1221A,0
1221H,0
1221I,0
1221Q,0
1221T,0
1221U,0
1221V,0
1221W,0
1222A,0
1222B,0
1222C,0
1222D,0
1223A,0
1223C,0
1224B,0
1225A,0
1225C,0
1225D,0
1225E,0
1225F,0
1225G,0
1225H,0
1226A,0
1226G,0
1227A,0
1228A,0
1228B,0
1228C,0
1229K,0
1229L,0
1229M,0
1229N,0
1229O,0
1229Q,0
1229R,0
1229V,0
1230AA,1
1230B,0
1230BB,1
1230C,0
1230CC,1
1230D,0
1230DD,1
1230E,0
1230EE,1
1230F,0
1230FF,1
1230GG,1
1230H,0
1230I,0
1230J,0
1230K,0
1230L,0
1230M,0
1230N,0
1230P,0
1230U,0
1230V,0
1230W,1
1230X,1
1230Y,0
1230Z,1
1231B,0
1231D,0
1231E,0
1231F,0
1231G,0
1232B,0
1233AA,0
1233BB,0
1233CC,0
1233DD,0
1233E,0
1233EE,0
1233FF,0
1233K,0
1233L,0
1233M,0
1233W,0
1233Y,0
1233Z,0
1234B,1
1234E,1
1234F,1
1234G,1
1234H,1
1234I,1
1234J,0
1234K,1
1234L,1
1234M,1
1235E,0
1235H,0
1236C,0
1237B,0
1237C,0
1238A,0
1239H,0
1239I,0
1240B,0
1242A,0
1243CC,0
1243DD,0
1243EE,0
1243FF,0
1243GG,0
1243H,0
1243HH,0
1243I,0
1243K,0
1243L,0
1243N,0
1243O,0
1243Q,0
1243S,0
1243U,0
1243W,0
1243X,0
1243Y,0
1243Z,0
1244B,0
1244C,0
1244D,0
1244E,0
1244F,0
1244G,0
1244H,0
1244I,0
1244J,0
1244K,0
1244L,0
1244M,0
1244N,0
1244O,0
1244P,0
1245A,0
1245D,0
1245E,0
1245F,0
1245G,0
1245H,0
1245I,0
1245J,0
1245K,0
1245L,0
1245M,0
1245N,0
1245O,0
1245P,0
1246A,0
1246B,0
1246C,0
1246D,0
1246E,0
1246F,0
1246G,0
1246H,0
1246I,0
1246J,0
1246K,0
1246L,0
1246M,1
1247A,0
1247AA,0
1247B,0
1247BB,0
1247C,0
1247CC,0
1247D,0
1247DD,0
1247G,0
1247H,0
1247J,0
1247K,0
1247L,0
1247M,0
1247N,0
1247O,0
1247P,0
1247Q,0
1247R,0
1247S,0
1247T,0
1247U,0
1247V,0
1247Z,0
1249B,0
1249C,0
1249D,0
1249E,0
1249F,0
1249G,0
1249H,0
1249I,0
1249J,0
